x0,x0_err,A,A_err,fwhm,fwhm_err,eta,eta_err,offset,offset_err
32.9877578575954,0.00112034767877505,60872517.6060096,9.42432798686909e-10,0.248069776248816,0.00237588519003569,5.06209382772701e-11,0.0391293284460446,7412504.97156428,4.71962198312935e-09
32.9699964931985,0.00194310308455374,73258014.7307859,1.35565780440372e-09,0.247765101817977,0.00411992071673822,2.77653093566029e-12,0.0678783656976488,7317603.71486665,6.81901876331481e-09
32.980561659951,0.00208190296010435,74193760.3212088,1.39870185050129e-09,0.258997280999369,0.00441921167336049,8.56222703955792e-13,0.070015122465474,7339101.1970882,6.73018766425929e-09
32.9828615104825,0.00226931108449799,72910004.8383141,1.54039028283197e-09,0.262533672365547,0.00481884177834957,7.65435896923321e-12,0.0754482887181265,7281110.13923947,7.30699892735791e-09
32.9885081402868,0.00243955147938047,63081657.1958292,1.90127176848397e-09,0.266393328508366,0.00518279021479432,3.98590184909249e-12,0.080142516275964,8134048.47539764,8.87029575802301e-09
32.9938178112072,0.00102655838438354,80475584.9341855,6.78024390392692e-10,0.234574511886947,0.00217464306574628,4.64413902748158e-12,0.0376861569937141,8725205.04521126,3.56230975801817e-09
32.9937225385263,0.00117221380448185,78769961.0294158,7.99016081363043e-10,0.23113060987575,0.00249275481572913,0.0227373317786384,0.0435523592174562,8450618.83758864,4.2218098159952e-09
32.9908421531862,0.00112281708140194,82329010.2103961,7.6776825591458e-10,0.21805981390844,0.00243454026483487,0.131749145768606,0.0437543401762802,8018243.17433137,4.08929566141531e-09
32.9933695071531,0.000854917742565581,88437299.6741301,5.43355911655301e-10,0.222140627837416,0.00188758703867166,0.22400626546731,0.0326579688165179,6636652.1553398,2.73693353844929e-09
32.999245532175,0.000718239907271437,75199022.8463904,5.23406167678334e-10,0.226969456992972,0.00156248454964881,0.145970574888517,0.0269807513478393,7082826.16559454,2.68227120503516e-09
33.0044455977432,0.0009452843637613,82567331.6699143,6.70935165222406e-10,0.213235022678189,0.00210625549931765,0.27175540035406,0.0374744298287818,6343614.28248248,3.39208979725896e-09
